Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,SF Bay Area,SoCal
Jul-91,11.2,8.4,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,9.3,NA,NA,10.5,14.2,NA,NA,NA,NA,NA,NA
Aug-91,12.7,12,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,9.8,NA,NA,12.2,15.1,NA,NA,NA,NA,NA,NA
Sep-91,13.8,12.7,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,13,NA,NA,14.7,19.1,NA,NA,NA,NA,NA,NA
Oct-91,13.8,9.1,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,11.6,NA,NA,13.4,18.4,NA,NA,NA,NA,NA,NA
Nov-91,15.5,10.5,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,14.5,NA,NA,17.1,22.6,NA,NA,NA,NA,NA,NA
Dec-91,13.7,8.8,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,10.9,NA,NA,15,18,NA,NA,NA,NA,NA,NA
Jan-92,16.5,13.8,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,19.7,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,14.8,NA,NA,16.6,13.5,NA,NA,NA,NA,12.5,NA
Feb-92,18.4,16,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,17.5,NA,NA,19,14.6,NA,NA,NA,NA,11.7,NA
Mar-92,12.5,9.7,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,11.7,NA,NA,12.7,13.1,NA,NA,NA,NA,7.8,NA
Apr-92,11.9,7.4,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,10.8,NA,NA,11.7,11.7,NA,NA,NA,NA,6.9,NA
